episode_id,dyad,host_gender,guest_gender,host_word_count,guest_word_count,total_words,host_speaking_share,guest_speaking_share,dominance_ratio,host_hedge_count,guest_hedge_count,host_hedge_per_1k,guest_hedge_per_1k,host_booster_count,guest_booster_count,host_booster_per_1k,guest_booster_per_1k,host_polite_count,guest_polite_count,host_polite_per_1k,guest_polite_per_1k,host_directive_count,guest_directive_count,host_directive_per_1k,guest_directive_per_1k
ep_214_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,1582,6859,8441,0.18741855230422935,0.8125814476957707,0.2306458667444234,3,19,1.8963337547408343,2.770083102493075,2,3,1.2642225031605565,0.4373815424989065,1,1,0.6321112515802781,0.1457938474996355,1,1,0.6321112515802781,0.1457938474996355
ep_030_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,6261,12248,18509,0.3382678696850181,0.6617321303149819,0.5111854996734161,55,187,8.78453921098866,15.267798824297843,3,4,0.4791566842357451,0.3265839320705421,3,3,0.4791566842357451,0.2449379490529066,5,14,0.7985944737262418,1.1430437622468974
ep_336_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,3266,8709,11975,0.2727348643006263,0.7272651356993737,0.3750143529681938,30,58,9.185548071034903,6.659777241933631,9,9,2.7556644213104717,1.0334137099552188,8,6,2.449479485609308,0.6889424733034792,5,5,1.5309246785058177,0.5741187277528993
ep_246_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,5484,8431,13915,0.3941070786920589,0.605892921307941,0.6504566480844503,18,25,3.282275711159737,2.9652473016249554,4,10,0.7293946024799417,1.1860989206499823,8,9,1.4587892049598834,1.067489028584984,3,9,0.5470459518599562,1.067489028584984
ep_211_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,2271,8787,11058,0.20537167661421596,0.794628323385784,0.2584499829293274,8,10,3.522677234698371,1.138044838966655,2,2,0.8806693086745927,0.227608967793331,3,4,1.321003963011889,0.4552179355866621,0,3,0.0,0.3414134516899966
ep_118_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1700,9604,11304,0.15038924274593066,0.8496107572540693,0.17700957934194086,9,93,5.294117647058823,9.683465222823823,1,8,0.588235294117647,0.8329862557267805,3,7,1.7647058823529411,0.7288629737609329,2,14,1.176470588235294,1.4577259475218658
ep_354_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,2628,6626,9254,0.2839853036524746,0.7160146963475253,0.3966193782070631,14,39,5.32724505327245,5.885904014488379,11,9,4.185692541856925,1.3582855418050106,7,3,2.663622526636225,0.4527618472683368,2,15,0.76103500761035,2.263809236341684
ep_322_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,2826,10615,13441,0.21025221337698088,0.7897477866230191,0.26622703721149316,22,135,7.78485491861288,12.717852096090438,3,41,1.0615711252653928,3.8624587847385774,5,11,1.7692852087756543,1.0362694300518134,1,36,0.3538570417551309,3.391427225624117
ep_028_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2808,13744,16552,0.16964717254712422,0.8303528274528758,0.20430733410942956,8,241,2.849002849002849,17.534924330616995,0,3,0.0,0.2182770663562281,6,6,2.136752136752137,0.4365541327124563,1,10,0.3561253561253561,0.7275902211874273
ep_274_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,3354,4336,7690,0.43615084525357606,0.5638491547464239,0.7735239852398524,9,36,2.683363148479428,8.302583025830259,2,10,0.5963029218843172,2.306273062730628,5,2,1.4907573047107932,0.4612546125461254,1,2,0.2981514609421586,0.4612546125461254
ep_176_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,1421,6012,7433,0.19117449212969193,0.808825507870308,0.2363606121091151,1,9,0.7037297677691766,1.497005988023952,2,8,1.4074595355383532,1.3306719893546242,6,4,4.22237860661506,0.6653359946773121,0,7,0.0,1.164337990685296
ep_143_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,2249,7817,10066,0.22342539241009338,0.7765746075899066,0.28770628118203917,5,15,2.2232103156958645,1.918894716643213,2,8,0.889284126278346,1.0234105155430473,3,6,1.3339261894175187,0.7675578866572854,4,1,1.778568252556692,0.1279263144428809
ep_092_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,2514,4544,7058,0.3561915556814962,0.6438084443185038,0.5532570422535211,16,10,6.364359586316628,2.200704225352113,0,3,0.0,0.6602112676056338,9,15,3.579952267303103,3.301056338028169,4,2,1.591089896579157,0.4401408450704225
ep_282_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,3205,7628,10833,0.2958552570848334,0.7041447429151666,0.420162558993183,8,37,2.49609984399376,4.850550603041426,2,4,0.62402496099844,0.5243838489774515,5,6,1.5600624024960998,0.7865757734661772,2,12,0.62402496099844,1.5731515469323545
ep_098_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,6266,9536,15802,0.39653208454626,0.60346791545374,0.6570889261744967,55,133,8.777529524417492,13.947147651006713,5,8,0.7979572294924991,0.8389261744966443,11,13,1.7555059048834982,1.363255033557047,21,26,3.3514203638684963,2.726510067114094
ep_172_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2547,10026,12573,0.20257695060844666,0.7974230493915533,0.2540394973070018,9,14,3.53356890459364,1.3963694394574109,0,4,0.0,0.3989626969878316,2,2,0.7852375343541421,0.1994813484939158,1,6,0.392618767177071,0.5984440454817475
ep_205_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,4321,9718,14039,0.3077854548044733,0.6922145451955267,0.4446388145708994,15,43,3.4714186530895623,4.424778761061947,1,16,0.2314279102059708,1.6464293064416546,9,1,2.0828511918537376,0.1029018316526034,2,7,0.4628558204119417,0.720312821568224
ep_133_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1501,11948,13449,0.11160681091530969,0.8883931890846903,0.12562772012052226,6,51,3.997335109926716,4.268496819551389,1,12,0.6662225183211192,1.004352192835621,2,9,1.3324450366422385,0.7532641446267158,3,19,1.998667554963358,1.5902243053230667
ep_231_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,2930,9576,12506,0.23428754197984966,0.7657124580201503,0.3059732664995823,9,75,3.0716723549488054,7.832080200501252,0,3,0.0,0.3132832080200501,2,1,0.6825938566552902,0.1044277360066833,1,8,0.3412969283276451,0.835421888053467
ep_033_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,3787,11119,14906,0.25405876828122903,0.7459412317187709,0.34058818239050276,16,73,4.224980195405334,6.565338609587193,8,18,2.112490097702667,1.6188506160625955,5,1,1.3203063110641668,0.0899361453368108,6,63,1.5843675732770002,5.665977156219085
